"customer_segment","avg_breakfast_orders","avg_lunch_orders","avg_evening_orders","avg_dinner_orders","avg_late_night_orders"
"Budget User","0.06469298245614035088","0.52850877192982456140","0.18146929824561403509","0.46875000000000000000","0.00000000000000000000"
"Frequent Low Spender","1.0986301369863014","8.7438356164383562","2.9369863013698630","5.9013698630136986","0.00000000000000000000"
"Mid-Tier User","0.15969056499516507805","2.4946815858543998","0.43735322558364414974","3.3953584749274762","0.00000000000000000000"
"Occasional Big Spender","0.03969754253308128544","0.41461877756773787020","0.05040957781978575929","0.79647132955261499685","0.00000000000000000000"
"Power User","0.29938271604938271605","3.8626543209876543","0.33024691358024691358","8.3750000000000000","0.00000000000000000000"
